球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
斯蒂芬-库里,99,3709,0.4520 ,851,1883,0.407,410,1007,0.898,439,489,525,622,169,29,350,250,2551
詹姆斯-哈登,113,3937,0.4160 ,759,1823,0.328,263,802,0.874,769,880,602,633,197,54,389,349,2550
昌西-比卢普斯,146,5321,0.4110 ,737,1793,0.366,267,729,0.88,785,892,492,831,148,23,322,373,2526
拉塞尔-威斯布鲁克,98,3710,0.4110 ,861,2097,0.302,140,464,0.842,627,745,685,778,184,28,390,284,2489
拜伦-斯科特,183,5365,0.4820 ,934,1937,0.395,134,339,0.819,449,548,536,390,226,30,266,445,2451
约翰-斯托克顿,182,6398,0.4730 ,855,1809,0.326,111,341,0.81,615,759,608,1839,338,50,517,539,2436
拉希德-华莱士,177,5839,0.4440 ,917,2065,0.352,190,540,0.717,360,502,1099,264,145,225,229,645,2384
伊塞亚-托马斯,111,4216,0.4410 ,825,1869,0.346,81,234,0.769,530,689,524,987,234,38,369,363,2261
鲍勃-佩蒂特,88,3545,0.4180 ,766,1834,0,0,0,0.774,708,915,1304,241,0,0,0,277,2240
大卫-罗宾逊,123,4221,0.4790 ,768,1604,0.1,1,10,0.708,684,966,1301,280,151,312,280,423,2221
埃尔文-海耶斯,96,4160,0.4640 ,883,1901,0,0,0,0.652,428,656,1244,185,0,0,0,378,2194
加里-佩顿,154,5482,0.4410 ,855,1938,0.315,137,435,0.706,308,436,575,811,216,32,297,434,2155
德里克-费舍尔,259,6847,0.4220 ,735,1740,0.399,285,715,0.805,391,486,578,598,272,16,237,645,2146
阿伦-艾弗森,71,3205,0.4010 ,755,1882,0.327,123,376,0.764,478,626,273,425,147,14,221,157,2111
保罗-加索尔,136,4821,0.5070 ,812,1600,0.297,11,37,0.741,463,625,1246,438,71,233,250,356,2098
杰夫-霍纳塞克,140,4766,0.4700 ,741,1578,0.433,122,282,0.886,488,551,527,525,170,25,231,385,2092
克莱-汤普森,111,4101,0.4390 ,778,1771,0.408,326,799,0.836,209,250,434,244,103,59,195,300,2091
克里斯-保罗,99,3688,0.4790 ,759,1585,0.368,166,451,0.845,398,471,494,848,219,17,266,302,2082
摩西-马龙,94,3796,0.4790 ,750,1566,0,0,0,0.762,576,756,1295,136,84,151,0,244,2077
史蒂夫-纳什,120,4288,0.4730 ,749,1584,0.406,178,438,0.9,396,440,422,1061,66,14,383,238,2072
汤姆-海恩索恩,104,3223,0.4020 ,818,2035,0,0,0,0.743,422,568,954,215,0,0,0,417,2058
杰森-基德,158,6085,0.3910 ,720,1843,0.322,236,733,0.781,367,470,1058,1263,302,52,450,348,2043
凯文-约翰逊,105,3879,0.4690 ,705,1504,0.244,22,90,0.833,594,713,349,935,132,30,354,233,2026
鲍勃·库锡,109,0,0.3420 ,689,2016,0,0,0,0.801,640,799,546,937,0,0,0,314,2018
鲍伯-丹德里奇,98,3882,0.4800 ,823,1716,0,0,0,0.761,321,422,754,365,0,0,0,377,1967
罗伯特-霍里,244,6823,0.4260 ,665,1562,0.359,261,728,0.722,348,482,1361,575,276,225,282,717,1939
盖斯-威廉姆斯,99,3215,0.4760 ,782,1644,0,0,0,0.737,356,483,308,469,174,40,0,243,1929
沃尔特-弗雷泽,93,3953,0.5110 ,767,1500,0,0,0,0.751,393,523,666,599,0,0,0,285,1927
切特-沃克,105,3688,0.4490 ,687,1531,0,0,0,0.787,542,689,737,212,0,0,0,286,1916
奥斯卡-罗波特森,86,3673,0.4600 ,675,1466,0,0,0,0.855,560,655,578,769,0,0,0,267,1910
莫里斯·奇克斯,133,4848,0.5120 ,772,1509,0,0,0,0.777,362,466,453,922,295,45,318,324,1910
霍雷斯-格兰特,170,6172,0.5300 ,786,1483,0.125,1,8,0.714,334,468,1457,360,171,173,184,515,1907
丹尼·安吉,193,5038,0.4560 ,717,1571,0.398,172,432,0.829,296,357,443,656,172,19,257,533,1902
多尔夫-谢伊斯,97,0,0.3900 ,582,1491,0,0,0,0.825,723,876,0,257,0,0,0,371,1887
豪尔-格瑞尔,92,3642,0.4250 ,705,1657,0,0,0,0.812,466,574,505,393,0,0,0,357,1876
萨姆-帕金斯,167,4785,0.4440 ,656,1479,0.363,152,419,0.785,397,506,936,246,118,126,207,441,1861
克里夫-哈根,90,2965,0.4540 ,701,1544,0,0,0,0.8,432,540,744,305,0,0,0,320,1834
里克-巴里,74,2723,0.4260 ,719,1688,0,0,0,0.875,392,448,418,340,0,0,0,232,1833
乔-约翰逊,120,4263,0.4270 ,703,1647,0.339,158,466,0.779,264,339,506,369,96,19,212,226,1828
特里-伯特,124,3939,0.4700 ,620,1320,0.372,151,406,0.826,437,529,371,624,137,14,236,245,1828
贾马尔-威尔克斯,113,3799,0.4650 ,785,1689,0,0,0,0.727,250,344,718,246,137,53,0,326,1820
卡梅罗-安东尼,72,2768,0.4150 ,616,1486,0.309,79,256,0.824,453,550,513,184,93,26,198,263,1764
乔-杜马斯,112,4097,0.4620 ,646,1398,0.358,53,148,0.855,407,476,257,512,91,6,205,227,1752
杰森-特里,124,3986,0.4410 ,634,1437,0.385,221,574,0.829,261,315,304,375,112,24,189,276,1750
德怀特-霍华德,95,3512,0.5860 ,626,1069,0,0,4,0.545,497,912,1315,132,84,234,295,381,1749
马克-阿吉雷,102,2958,0.4850 ,696,1435,0.317,45,142,0.743,310,417,537,262,71,22,198,281,1747
乔乔-怀特,80,3428,0.4490 ,732,1629,0,0,0,0.828,256,309,348,452,0,0,0,241,1720
鲍伯-麦克阿杜,94,2714,0.4910 ,698,1423,0,0,0,0.724,320,442,711,127,72,151,0,318,1718
戴夫·考恩斯,89,3768,0.4510 ,733,1627,0,0,0,0.744,218,293,1285,333,0,0,0,398,1684
科怀-伦纳德,95,3191,0.5230 ,615,1176,0.432,147,340,0.816,307,376,691,195,156,59,144,207,1684
乔治-迈肯,70,0,0.4040 ,563,1394,0,0,0,0.786,554,705,0,155,0,0,0,305,1680
特里-卡明斯,110,2959,0.5020 ,678,1351,0.091,1,11,0.706,307,435,742,173,98,62,171,353,1664
汤姆-钱伯斯,108,3061,0.4400 ,607,1380,0.307,27,88,0.827,421,509,569,183,62,68,208,359,1662
阿历克斯-英格利什,68,2427,0.5030 ,668,1328,0,0,0,0.862,325,377,371,293,47,32,142,188,1661
萨姆-卡塞尔,136,3539,0.4140 ,565,1364,0.363,117,322,0.847,409,483,349,592,105,19,268,402,1656
艾尔-霍福德,118,4082,0.5030 ,662,1315,0.419,70,167,0.782,230,294,963,410,94,142,197,295,1624
泰肖恩-普林斯,140,4975,0.4270 ,618,1447,0.343,103,300,0.774,263,340,732,368,109,86,181,244,1602
文斯-卡特,88,3027,0.4160 ,557,1340,0.338,119,352,0.796,360,452,477,295,94,47,168,257,1593
乔治-格文,59,2202,0.5080 ,622,1225,0,0,0,0.821,348,424,341,186,69,52,0,207,1592
迈克尔·库珀,168,4744,0.4680 ,582,1244,0.392,124,316,0.825,293,355,574,703,203,96,256,474,1581
唐-尼尔森,150,3209,0.4980 ,585,1175,0,0,0,0.817,407,498,719,210,0,0,0,399,1577
阿德里安-丹特利,73,2515,0.5250 ,531,1012,0,0,0,0.796,496,623,395,169,69,6,185,188,1558
杰罗米-科尔西,126,3394,0.4690 ,599,1277,0.095,2,21,0.727,357,491,717,233,168,80,163,427,1557
查尔斯-奥克利,144,5108,0.4590 ,584,1272,0.366,15,41,0.755,367,486,1445,283,178,42,308,503,1550
迪克-巴奈特,102,3031,0.4580 ,603,1317,0,0,0,0.748,333,445,273,247,0,0,0,282,1539
里克-施密茨,104,2747,0.5070 ,623,1230,0.25,1,4,0.829,290,350,540,135,51,90,185,419,1537
戴夫·德布斯切尔,96,3682,0.4160 ,634,1523,0,0,0,0.698,268,384,1155,253,0,0,0,327,1536
保罗-乔治,76,2961,0.4230 ,487,1152,0.361,170,471,0.809,381,471,551,293,127,42,232,246,1525
迈克尔-芬利,129,3907,0.4180 ,549,1314,0.388,200,515,0.866,227,262,456,229,100,32,124,218,1525
肖恩-坎普,88,2937,0.4980 ,514,1032,0.2,3,15,0.797,491,616,853,161,99,137,275,346,1522
肖恩-马里昂,109,3835,0.4560 ,617,1352,0.318,71,223,0.814,214,263,939,158,128,127,140,277,1519
理查德-杰弗森,140,3838,0.4730 ,535,1132,0.325,64,197,0.731,377,516,608,241,87,44,225,323,1511
克里斯-韦伯,80,2900,0.4640 ,617,1330,0.269,14,52,0.611,247,404,696,291,91,92,227,286,1495
拉玛库斯-阿尔德里奇,72,2668,0.4550 ,584,1284,0.327,17,52,0.824,309,375,614,119,49,100,112,196,1494
西德尼-蒙克利夫,93,3226,0.4750 ,491,1033,0.293,17,58,0.811,488,602,469,317,106,36,224,285,1487
J.R.史密斯,130,3826,0.4000 ,512,1280,0.37,288,779,0.706,161,228,421,184,125,38,136,344,1473
