球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
马尔科姆-布罗格登,13,370,0.4180 ,46,110,0.375,15,40,0.8,8,10,50,38,4,2,24,26,115
Charles0Pittman,21,336,0.5680 ,42,74,0,0,1,0.652,30,46,83,21,5,8,25,41,114
罗伯-威廉姆斯,12,283,0.4460 ,45,101,0.438,7,16,0.895,17,19,32,61,11,2,27,46,114
奥塞拉-哈宁顿,28,275,0.5060 ,44,87,0,0,1,0.676,25,37,57,6,6,4,16,41,113
德里克-怀特,10,211,0.5430 ,44,81,0.316,6,19,0.731,19,26,21,22,6,7,15,17,113
乔纳森-本德,34,305,0.4120 ,40,97,0.361,13,36,0.679,19,28,42,9,5,19,17,30,112
伊托万-摩尔,21,315,0.4410 ,45,102,0.357,10,28,0.667,12,18,29,18,8,2,12,23,112
卡里姆-拉什,31,379,0.3830 ,41,107,0.393,24,61,0.857,6,7,19,19,11,3,17,35,112
布林-福布斯,17,338,0.4040 ,38,94,0.388,19,49,0.773,17,22,34,12,1,2,5,22,112
沃恩-韦弗,17,191,0.4240 ,42,99,0.391,9,23,0.864,19,22,14,9,2,1,12,12,112
詹姆斯-恩尼斯,13,299,0.5000 ,40,80,0.289,11,38,0.778,21,27,51,15,7,3,14,40,112
史蒂夫-约翰逊,13,246,0.4070 ,37,91,0,0,0,0.627,37,59,57,6,4,2,20,40,111
威尔森-钱德勒,15,373,0.3310 ,40,121,0.239,11,46,0.8,20,25,61,12,13,7,14,47,111
查克-吉尔摩,18,0,0.2360 ,43,182,0,0,0,0.641,25,39,0,14,0,0,0,80,111
约什-麦克罗伯茨,25,382,0.4210 ,40,95,0.308,8,26,0.852,23,27,75,31,13,8,17,51,111
约翰-巴恩希尔,21,421,0.4070 ,46,113,0,0,0,0.613,19,31,41,44,0,0,0,42,111
约翰-诺兰德,17,0,0.3170 ,39,123,0,0,0,0.767,33,43,0,9,0,0,0,38,111
肯-查尔斯,18,456,0.4120 ,47,114,0,0,0,0.708,17,24,41,32,13,11,0,60,111
Corky0Devlin,11,300,0.4310 ,47,109,0,0,0,0.615,16,26,26,28,0,0,0,26,110
雅各布-珀尔特尔,22,343,0.5770 ,45,78,0,0,2,0.667,20,30,102,18,6,10,11,54,110
安托万-怀特,28,347,0.4700 ,39,83,0.407,11,27,0.833,20,24,37,11,8,6,11,44,109
福特斯-沃克,22,330,0.4230 ,41,97,0,0,0,0.818,27,33,35,64,14,4,0,37,109
贾森-卡菲,35,464,0.4060 ,39,96,0,0,0,0.689,31,45,116,29,6,8,27,71,109
亚历克-伯克斯,13,182,0.4020 ,37,92,0.409,9,22,0.862,25,29,35,20,6,1,11,13,108
马里克-希利,14,289,0.4150 ,39,94,0.222,2,9,0.737,28,38,29,13,3,1,16,25,108
John0Logan,10,0,0.2760 ,34,123,0,0,0,0.75,39,52,0,19,0,0,0,36,107
唐纳德-洛耶尔,36,424,0.4210 ,32,76,0,0,0,0.705,43,61,52,16,6,3,24,44,107
胡布-里德,21,319,0.4060 ,43,106,0,0,0,0.7,21,30,103,16,0,0,0,56,107
艾德-戴维斯,33,391,0.5000 ,41,82,0,0,2,0.568,25,44,152,16,3,13,18,58,107
凯文-兰西,14,306,0.3850 ,45,117,0.4,2,5,0.737,14,19,25,64,9,3,22,33,106
加里-菲利普斯,17,288,0.3190 ,36,113,0,0,0,0.667,34,51,27,21,0,0,0,42,106
哈维-格兰特,19,413,0.4370 ,45,103,0.353,6,17,0.5,10,20,53,13,4,9,8,30,106
布莱恩-斯卡拉布莱恩,39,415,0.4370 ,38,87,0.463,19,41,0.786,11,14,52,15,6,8,15,67,106
拉尔斐-辛普森,17,252,0.4130 ,45,109,0,0,0,0.696,16,23,24,41,4,2,0,21,106
乔治-邓普斯,25,339,0.4370 ,38,87,0,0,0,0.592,29,49,64,35,0,0,0,35,105
卡里斯-勒夫特,5,144,0.4930 ,36,73,0.462,12,26,0.724,21,29,23,15,5,2,10,8,105
布迪-珍妮特,14,0,0.4320 ,32,74,0,0,0,0.891,41,46,0,17,0,0,0,56,105
布鲁斯-希欧斯,15,273,0.4000 ,42,105,0,0,0,0.636,21,33,56,11,7,8,0,36,105
杰里-弗雷什曼,22,0,0.2820 ,37,131,0,0,0,0.633,31,49,0,19,0,0,0,45,105
菲尔-乔丹,16,243,0.3640 ,36,99,0,0,0,0.786,33,42,51,14,0,0,0,34,105
埃里克-梅诺,23,296,0.3610 ,35,97,0.323,10,31,0.8,24,30,31,46,10,1,21,21,104
斯坦-斯图茨,11,0,0.2740 ,32,117,0,0,0,0.816,40,49,0,8,0,0,0,31,104
艾米-乌度卡,21,340,0.4400 ,40,91,0.354,17,48,0.583,7,12,70,21,15,3,13,39,104
达夫-皮昂特克,25,325,0.3540 ,40,113,0,0,0,0.649,24,37,70,20,0,0,0,44,104
杰克-莫兰,14,223,0.4890 ,44,90,0,0,0,0.682,15,22,62,16,0,0,0,50,103
比尔-克洛斯,11,0,0.2930 ,36,123,0,0,0,0.816,31,38,0,23,0,0,0,32,103
安德里亚-巴尼亚尼,11,285,0.4120 ,35,85,0.333,11,33,0.81,17,21,31,8,9,6,9,31,98
杰森-卡波诺,10,231,0.5570 ,39,70,0.536,15,28,0.833,5,6,18,6,4,0,3,18,98
麦考伊-麦克莱默,18,239,0.3740 ,34,91,0,0,0,0.789,30,38,49,17,0,0,0,31,98
Chink0Crossin,14,0,0.3550 ,38,107,0,0,0,0.84,21,25,0,17,0,0,0,24,97
德安吉洛-拉塞尔,5,148,0.3630 ,37,102,0.324,12,37,0.846,11,13,18,18,7,1,14,12,97
斯坦-马赛克,8,0,0.3750 ,36,96,0,0,0,0.595,25,42,0,4,0,0,0,38,97
蒂姆-哈达威二世,15,289,0.3150 ,34,108,0.232,13,56,0.64,16,25,25,14,3,1,13,15,97
迈克-格伦,22,295,0.4530 ,39,86,0,0,2,0.905,19,21,26,19,9,0,16,28,97
Boo0Ellis,16,291,0.4110 ,37,90,0,0,0,0.564,22,39,105,18,0,0,0,37,96
史蒂夫-弗朗西斯,5,222,0.4290 ,30,70,0.412,7,17,0.725,29,40,42,38,7,1,21,18,96
拉里-南斯0Jr.,20,308,0.6830 ,41,60,0,0,1,0.452,14,31,90,18,16,14,12,35,96
比尔-特纳,22,284,0.4250 ,37,87,0,0,0,0.71,22,31,62,18,0,0,0,47,96
约翰-威廉姆斯,13,332,0.4380 ,35,80,0.4,2,5,0.585,24,41,54,30,15,4,20,38,96
马克-兰斯伯格,41,433,0.3680 ,42,114,0,0,2,0.6,12,20,151,7,4,4,21,77,96
弗雷德-范弗里特,21,324,0.3550 ,33,93,0.268,15,56,0.737,14,19,28,43,5,3,12,28,95
拉里·德鲁,31,293,0.4470 ,38,85,0.278,5,18,0.824,14,17,15,50,11,0,18,33,95
泰勒-泽勒,25,268,0.5270 ,39,74,0,0,0,0.739,17,23,66,15,6,8,11,24,95
达里克-马丁,25,299,0.3010 ,28,93,0.333,12,36,0.771,27,35,20,43,5,0,14,31,95
马里克-比斯利,10,235,0.4190 ,31,74,0.447,17,38,0.64,16,25,42,13,3,1,6,13,95
罗恩-布恩,8,226,0.4810 ,37,77,0,0,0,0.952,20,21,15,14,9,0,14,28,94
乔治-卡夫腾,21,0,0.3810 ,32,84,0,0,0,0.644,29,45,36,24,0,0,0,48,93
卡洛斯-阿罗约,34,362,0.3880 ,38,98,0,0,5,0.773,17,22,28,65,8,2,17,38,93
泰德-麦克莱恩,25,304,0.4110 ,37,90,0,0,0,0.792,19,24,36,50,21,2,0,36,93
马克-布朗特,22,369,0.4670 ,35,75,0,0,0,0.697,23,33,86,8,19,18,23,50,93
鲍伯-詹汉,17,0,0.3830 ,31,81,0,0,0,0.408,31,76,54,38,0,0,0,81,93
威利-诺伍德,14,290,0.4690 ,38,81,0,0,0,0.696,16,23,45,13,8,3,0,43,92
布奇-范布雷德-考尔夫,15,0,0.3180 ,28,88,0,0,0,0.72,36,50,0,13,0,0,0,29,92
扎伊德-阿卜杜勒-阿齐兹,18,210,0.5290 ,37,70,0,0,0,0.692,18,26,64,9,0,0,0,12,92
昆顿-罗斯,12,294,0.5340 ,39,73,0,0,0,0.875,14,16,32,9,7,8,9,36,92
杰克-凯利斯,11,0,0.3490 ,30,86,0,0,0,0.582,32,55,0,24,0,0,0,47,92
比姆博-科尔斯,11,195,0.5250 ,32,61,0.286,2,7,0.788,26,33,22,25,10,1,16,21,92
沙蒙德-威廉姆斯,15,235,0.4720 ,34,72,0.458,11,24,0.722,13,18,18,32,11,1,16,15,92
皮特-奇尔卡特,21,333,0.4710 ,32,68,0.378,14,37,0.737,14,19,61,18,7,4,12,39,92
约迪-米克斯,28,285,0.3580 ,29,81,0.268,11,41,0.92,23,25,24,9,9,2,10,25,92
罗伊德-尼尔,22,253,0.4400 ,37,84,0,0,0,0.667,18,27,81,19,2,12,0,39,92
埃利奧特-佩里,19,187,0.4660 ,34,73,0.333,2,6,0.778,21,27,16,29,10,0,10,13,91
帕特-康诺顿,20,285,0.4560 ,36,79,0.283,13,46,1,6,6,62,22,4,7,7,18,91
艾德-迈肯,11,0,0.2580 ,31,120,0,0,0,0.829,29,35,0,8,0,0,0,36,91
乔丹-克拉克森,19,284,0.3010 ,37,123,0.239,11,46,0.833,5,6,32,13,8,3,13,21,90
索恩-马克,16,314,0.3530 ,30,85,0.19,8,42,0.815,22,27,51,21,7,26,15,49,90
安东尼-鲍威,40,310,0.4800 ,36,75,0.714,5,7,0.923,12,13,29,33,5,3,14,47,89
斯科特·布鲁克斯,34,355,0.3820 ,29,76,0.435,10,23,0.75,21,28,24,57,12,0,21,42,89
肯尼-沃克,26,355,0.4190 ,31,74,0,0,1,0.73,27,37,57,15,4,11,9,63,89
肯尼-菲尔兹,12,158,0.5510 ,38,69,0.333,1,3,0.522,12,23,28,10,8,0,16,23,89
艾德-拉特莱弗,8,291,0.4140 ,36,87,0,0,0,0.85,17,20,53,35,14,1,0,31,89
加里-特伦特,28,231,0.3980 ,35,88,0,0,3,0.581,18,31,41,8,2,1,16,39,88
Dike0Eddleman,12,0,0.3810 ,32,84,0,0,0,0.489,23,47,0,13,0,0,0,45,87
奈格勒-奈特,17,198,0.4220 ,35,83,0.167,1,6,0.842,16,19,13,28,4,1,14,17,87
弗朗西斯科-埃尔森,30,371,0.5810 ,36,62,0,0,1,0.682,15,22,85,6,14,7,25,68,87
所罗门-希尔,17,313,0.4110 ,23,56,0.486,17,35,0.923,24,26,45,15,3,1,9,37,87
托尼-史密斯,27,250,0.4200 ,34,81,0.333,9,27,0.556,10,18,21,22,11,1,22,34,87
杰纳-万斯,10,0,0.2420 ,32,132,0,0,0,0.697,23,33,0,17,0,0,0,43,87
皮特-梅耶斯,24,329,0.4790 ,34,71,0.167,1,6,0.545,18,33,32,37,12,6,21,33,87
科斯塔-库佛斯,37,332,0.4630 ,37,80,1,1,1,0.8,12,15,95,9,9,15,11,41,87
阿特-希尔豪斯,10,0,0.2640 ,24,91,0,0,0,0.848,39,46,0,8,0,0,0,41,87
伊唐-托马斯,18,252,0.5590 ,33,59,0,0,0,0.541,20,37,69,3,4,12,16,37,86
凯文-奥利,42,330,0.4000 ,28,70,0.5,1,2,0.935,29,31,27,61,7,0,16,24,86
约翰-威廉姆斯,4,123,0.4200 ,34,81,0,0,0,0.842,16,19,8,9,4,0,18,15,86
阿兰·布里斯托,20,242,0.4380 ,32,73,0,0,0,0.611,22,36,42,42,13,5,0,33,86
佩罗-安蒂奇,22,369,0.2500 ,23,92,0.246,14,57,0.758,25,33,70,9,7,6,13,64,85
拉沃伊-阿伦,25,306,0.5200 ,39,75,0,0,0,0.583,7,12,80,6,11,12,7,33,85
斯科特-伯勒尔,23,273,0.4470 ,34,76,0.286,6,21,0.846,11,13,46,11,21,3,11,33,85
杰森-史密斯,26,299,0.4720 ,34,72,0.273,3,11,0.778,14,18,51,8,5,12,12,46,85
科里-布朗特,37,487,0.4780 ,32,67,0,0,1,0.6,21,35,141,13,14,12,21,79,85
马克-麦德森,49,448,0.4030 ,31,77,0,0,2,0.46,23,50,98,18,8,8,18,80,85
Alfred0McGuire,24,339,0.3730 ,31,83,0,0,0,0.512,22,43,28,30,0,0,0,60,84
唐-巴克斯代尔,13,228,0.3820 ,29,76,0,0,0,0.813,26,32,62,17,0,0,0,40,84
布莱恩-库克,31,206,0.3510 ,33,94,0.333,9,27,1,9,9,52,12,4,2,12,39,84
弗朗西斯科-加西亚,14,227,0.4330 ,29,67,0.409,18,44,0.727,8,11,24,10,6,7,4,29,84
拉蒙德-穆雷,14,262,0.3650 ,27,74,0.333,14,42,0.889,16,18,49,5,5,3,7,32,84
艾德-内里,33,376,0.4410 ,30,68,0.333,5,15,0.704,19,27,91,15,14,1,10,66,84
丹特-埃萨姆,17,199,0.4560 ,31,68,0.316,6,19,0.833,15,18,20,19,6,1,18,25,83
乔-霍兰德,10,0,0.3920 ,38,97,0,0,0,0.368,7,19,0,26,0,0,0,39,83
加里-布罗考,6,152,0.5710 ,32,56,0,0,0,0.792,19,24,15,36,5,4,0,17,83
斯科特-帕吉特,30,291,0.4050 ,32,79,0.314,11,35,0.727,8,11,65,15,10,6,18,44,83
比尔-罗宾,8,187,0.4670 ,35,75,0,0,0,0.722,13,18,54,3,16,0,14,26,83
蒙蒂-威廉姆斯,30,264,0.4660 ,34,73,0,0,2,0.577,15,26,56,10,5,2,18,29,83
马克-穆斯卡拉,27,255,0.4790 ,35,73,0.222,4,18,0.9,9,10,51,6,2,7,8,31,83
马里克-阿伦,29,324,0.4040 ,38,94,0,0,0,0.583,7,12,59,12,6,16,17,52,83
劳伊-奥特,15,207,0.5310 ,34,64,0.5,2,4,0.75,12,16,64,6,11,4,11,24,82
汤姆-博斯威尔,20,259,0.5590 ,33,59,0,0,0,0.667,16,24,54,25,4,6,0,42,82
谢伊-吉尔杰斯-亚历山大,6,173,0.4670 ,28,60,0.5,9,18,0.85,17,20,16,19,6,5,5,17,82
迪克-罗森萨尔,11,209,0.3210 ,27,84,0,0,0,0.718,28,39,48,26,0,0,0,39,82
阿瑞尔-马汉,9,0,0.2500 ,32,128,0,0,0,0.692,18,26,0,4,0,0,0,25,82
马努特-波尔,29,496,0.3860 ,34,88,0.087,2,23,0.444,12,27,109,3,6,77,13,61,82
埃文-富尼耶,9,229,0.3490 ,30,86,0.19,8,42,0.813,13,16,16,14,9,0,18,20,81
约翰-汉森,14,272,0.5360 ,37,69,0,0,2,0.412,7,17,72,10,8,17,18,24,81
罗波特-考文顿,10,281,0.3250 ,27,83,0.313,15,48,0.75,12,16,53,25,11,9,11,30,81
艾迪-罗宾逊,14,237,0.5000 ,36,72,0.333,1,3,1,8,8,36,13,6,5,6,14,81
Red0Owens,8,0,0.2920 ,26,89,0,0,0,0.683,28,41,0,19,0,0,0,37,80
博班-马扬诺维奇,15,133,0.6040 ,29,48,0,0,2,0.846,22,26,48,14,2,5,15,27,80
德萨盖纳-迪奥普,28,547,0.6110 ,33,54,0,0,0,0.56,14,25,150,4,17,38,15,102,80
温-维尔冯,16,208,0.2950 ,26,88,0,0,0,0.718,28,39,47,28,0,0,0,31,80
罗波特-史密斯,26,208,0.4560 ,31,68,0,0,0,0.842,16,19,23,39,10,0,12,25,80
贾里德-萨林格,10,162,0.4250 ,34,80,0.385,5,13,0.636,7,11,55,8,1,3,11,28,80
OG-阿奴诺比,10,237,0.5580 ,29,52,0.448,13,29,0.727,8,11,21,7,6,4,6,23,79
Tex0Ritter,13,0,0.2960 ,21,71,0,0,0,0.755,37,49,0,10,0,0,0,42,79
克里斯-亨弗里斯,22,218,0.4490 ,31,69,0.5,5,10,0.571,12,21,67,6,4,11,7,36,79
安德鲁-威金斯,5,164,0.4410 ,30,68,0.333,7,21,0.6,12,20,26,10,2,2,9,14,79
约翰-海,18,282,0.4130 ,31,75,0,0,3,0.531,17,32,54,32,15,5,14,51,79
路易斯-阿蒙德森,29,294,0.5240 ,33,63,0,0,0,0.448,13,29,86,3,8,12,10,49,79
阿代尔-诺里斯,20,214,0.5820 ,32,55,0,0,0,0.469,15,32,71,12,7,8,18,43,79
奥利-约翰逊,16,209,0.4290 ,33,77,0,0,0,1,12,12,31,10,10,6,0,21,78
约翰-曼肯,18,0,0.2110 ,27,128,0,0,0,0.8,24,30,0,19,0,0,0,63,78
罗恩-默塞尔,11,252,0.4000 ,34,85,0,0,0,0.833,10,12,23,11,7,2,8,20,78
谢里尔-麦克米伦,9,168,0.3940 ,28,71,0,0,0,0.759,22,29,39,9,0,0,0,37,78
韦恩-艾灵顿,11,244,0.3290 ,25,76,0.362,21,58,1,7,7,25,10,5,2,7,14,78
拉里-麦克内尔,12,124,0.6590 ,29,44,0,0,0,0.792,19,24,28,2,3,2,0,23,77
斯科特-黑斯廷斯,44,256,0.5600 ,28,50,0.25,3,12,0.72,18,25,47,9,8,3,13,51,77
格雷格-安德森,17,273,0.4770 ,31,65,0,0,0,0.484,15,31,69,5,7,12,19,44,77
贾马里奥-穆恩,19,257,0.5170 ,30,58,0.483,14,29,0.5,3,6,49,10,11,9,4,19,77
鲁米尔-罗宾逊,16,216,0.4100 ,32,78,0.333,6,18,0.583,7,12,16,44,10,0,28,33,77
卡尔-安东尼-唐斯,5,171,0.4670 ,28,60,0.273,3,11,0.739,17,23,67,11,2,5,12,14,76
巴尼-卡鲍,11,248,0.3920 ,31,79,0,0,0,0.56,14,25,89,8,0,0,0,41,76
德里克-斯特朗,10,292,0.4810 ,26,54,0,0,1,0.727,24,33,74,7,6,3,20,29,76
艾德-弗莱明,13,178,0.3510 ,27,77,0,0,0,0.88,22,25,39,18,0,0,0,32,76
迪恩-加勒特,13,267,0.4920 ,30,61,0,0,0,0.696,16,23,62,9,5,8,3,35,76
阿隆-戈登,5,164,0.4680 ,29,62,0.4,8,20,0.526,10,19,36,18,6,1,13,16,76
霍华德-科密维斯,10,263,0.3010 ,31,103,0,0,0,0.737,14,19,25,38,0,0,0,35,76
T.J.0麦康诺,17,216,0.6140 ,35,57,0.667,2,3,0.6,3,5,31,34,8,1,6,17,75
Tal0Skinner,15,297,0.4240 ,25,59,0,0,0,0.735,25,34,53,19,14,4,0,35,75
Wah0Wah0Jones,6,0,0.3030 ,23,76,0,0,0,0.853,29,34,0,22,0,0,0,28,75
斯宾瑟-丁维迪,6,132,0.4440 ,28,63,0.375,9,24,0.714,10,14,13,9,2,0,8,10,75
理查德-华盛顿,11,164,0.5370 ,36,67,0,0,0,0.5,3,6,33,3,5,9,9,39,75
Mike0O'Koren,20,333,0.3740 ,34,91,0,0,3,0.6,6,10,61,33,6,5,20,59,74
乔-霍拉普,15,258,0.2820 ,24,85,0,0,0,0.743,26,35,64,7,0,0,0,30,74
乔丹-克劳福德,13,131,0.3910 ,27,69,0.296,8,27,0.75,12,16,16,3,4,0,11,11,74
兰迪-布朗,47,281,0.3860 ,27,70,0.5,3,6,0.739,17,23,29,22,15,3,18,46,74
哈维-凯奇,53,556,0.3970 ,31,78,0,0,0,0.5,12,24,154,23,3,49,0,99,74
扎克-科林斯,12,192,0.4920 ,31,63,0.25,5,20,0.778,7,9,42,12,8,8,15,36,74
达尔文-哈姆,54,407,0.5690 ,29,51,0,0,2,0.516,16,31,65,13,8,19,21,74,74
克里斯-科普兰,21,175,0.4140 ,24,58,0.436,17,39,0.727,8,11,14,2,8,3,9,22,73
博-奥特洛,22,416,0.4460 ,29,65,0,0,1,0.357,15,42,88,27,11,19,27,57,73
富兰克林-爱德华兹,21,133,0.4810 ,25,52,1,1,1,0.846,22,26,14,22,8,0,8,7,73
克米特-华盛顿,9,263,0.5000 ,30,60,0,0,0,0.706,12,17,93,14,10,6,0,18,72
肖恩-卢克斯,29,253,0.4900 ,24,49,0,0,0,0.686,24,35,42,11,7,11,13,60,72
迪克-奥克非,13,0,0.3560 ,26,73,0,0,0,0.714,20,28,0,16,0,0,0,47,72
埃尔文-穆勒,17,334,0.3290 ,28,85,0,0,0,0.536,15,28,68,27,0,0,0,39,71
托比-金宝尔,14,237,0.4180 ,28,67,0,0,0,0.556,15,27,83,6,0,0,0,21,71
斯马什-帕克,12,317,0.3060 ,26,85,0.156,5,32,1,14,14,28,14,18,2,15,32,71
杰里-钱伯斯,14,139,0.4200 ,29,69,0,0,0,0.765,13,17,30,8,0,0,0,17,71
比利-奈特,10,153,0.4640 ,32,69,0,0,4,0.7,7,10,21,10,3,0,9,9,71
沃恩-加德纳,7,0,0.3660 ,26,71,0,0,0,0.826,19,23,0,5,0,0,0,33,71
约翰-克罗蒂,36,269,0.3710 ,23,62,0.412,7,17,0.857,18,21,23,35,9,3,20,30,71
迈克尔-多里亚克,31,275,0.4110 ,30,73,0,0,1,0.846,11,13,69,4,5,2,12,49,71
Ralph0Johnson,9,0,0.3220 ,28,87,0,0,0,0.737,14,19,0,22,0,0,0,41,70
唐-奥顿,5,0,0.3530 ,18,51,0,0,0,0.81,34,42,0,14,0,0,0,22,70
埃里克-斯特里克兰,20,201,0.3380 ,22,65,0.167,5,30,0.913,21,23,25,34,8,1,13,21,70
多雷尔-怀特,20,223,0.3890 ,21,54,0.32,8,25,0.833,20,24,41,14,5,9,11,13,70
安德里斯-比德林斯,14,284,0.7300 ,27,37,0,0,0,0.533,16,30,76,6,8,19,10,35,70
杜德利-布拉德利,30,212,0.3940 ,26,66,0.227,5,22,0.722,13,18,14,22,13,1,23,35,70
梅耶斯-伦纳德,20,213,0.5490 ,28,51,0.5,12,24,0.5,2,4,61,8,3,2,8,36,70
科特-尼姆费斯,25,306,0.4000 ,26,65,0,0,0,0.783,18,23,81,18,2,19,14,52,70
贾巴里-帕克,7,167,0.4520 ,28,62,0.316,6,19,0.615,8,13,43,10,7,4,6,15,70
鲍伯-道尔,10,0,0.1850 ,24,130,0,0,0,0.579,22,38,0,5,0,0,0,29,70
Lou-西奥罗普洛斯,11,239,0.2940 ,25,85,0,0,0,0.655,19,29,64,14,0,0,0,40,69
史蒂夫-布雷西,10,137,0.5000 ,27,54,0,0,0,0.75,15,20,14,23,0,0,0,14,69
戴维斯-贝尔坦斯,23,273,0.3330 ,20,60,0.298,14,47,0.682,15,22,39,14,5,5,8,27,69
李-耐龙,9,160,0.4580 ,27,59,0,0,1,0.789,15,19,24,6,3,0,7,17,69
汤姆-哈蒙德,21,226,0.4510 ,23,51,0,0,0,0.719,23,32,44,5,0,3,10,40,69
塔里克-阿卜杜-瓦哈德,13,178,0.3810 ,24,63,0,0,3,0.833,20,24,41,11,4,4,4,14,68
威利-怀特,14,144,0.4530 ,29,64,0.429,3,7,0.583,7,12,20,23,6,0,18,10,68
布拉德-罗浩斯,20,224,0.4260 ,29,68,0.346,9,26,0.5,1,2,42,7,9,10,13,27,68
格兰迪-刘易斯,11,0,0.2110 ,23,109,0,0,0,0.759,22,29,0,9,0,0,0,49,68
汤姆-亚伯内替,13,226,0.4070 ,22,54,0,0,0,0.828,24,29,42,23,7,2,0,18,68
汤姆-拉格拉德,23,240,0.4150 ,27,65,0,0,0,0.778,14,18,58,19,2,2,16,37,68
米洛-科梅尼齐,8,0,0.2430 ,26,107,0,0,0,0.571,16,28,0,14,0,0,0,36,68
约翰-兰伯特,28,250,0.4000 ,30,75,0,0,0,0.8,8,10,60,11,8,6,0,35,68
肯尼-加蒂松,13,245,0.5000 ,27,54,0,0,0,0.483,14,29,51,13,7,1,12,34,68
Louie0Dampier,15,246,0.4330 ,29,67,0,0,0,0.6,9,15,15,32,8,4,0,19,67
乔丹-希尔,20,256,0.4240 ,28,66,0,0,0,0.688,11,16,93,4,3,10,7,35,67
凯文-卡托,21,264,0.4910 ,26,53,0,0,1,0.536,15,28,60,5,7,12,11,45,67
卡尔伯特-钱尼,8,242,0.4120 ,28,68,0,0,2,0.688,11,16,18,12,5,3,12,25,67
史蒂夫-哈里斯,24,174,0.4170 ,30,72,0,0,1,0.636,7,11,17,7,7,3,5,18,67
德兰尼-路德,24,187,0.4150 ,27,65,0.269,7,26,0.6,6,10,9,49,7,0,10,27,67
沃尔特-戴维斯,21,172,0.3910 ,25,64,0,0,0,0.773,17,22,69,7,0,0,0,51,67
科迪-泽勒,11,190,0.5110 ,24,47,0,0,0,0.76,19,25,46,4,1,6,9,23,67
陶林-普林斯,6,187,0.5580 ,29,52,0.286,4,14,1,5,5,32,8,2,1,7,9,67
马克-杰克逊,12,176,0.4230 ,22,52,0,0,1,0.767,23,30,41,8,4,3,15,29,67
Charles0Jones__,44,591,0.4260 ,23,54,0,0,1,0.556,20,36,108,13,13,31,17,115,66
威尔-拜纳姆,7,109,0.4720 ,25,53,0.333,2,6,0.933,14,15,9,13,7,1,13,15,66
斯蒂文-亨特,24,259,0.5000 ,27,54,0,0,0,0.522,12,23,43,4,1,21,9,35,66
查克-海耶斯,31,515,0.5440 ,31,57,0,0,5,0.571,4,7,120,20,28,11,16,72,66
贾尔维斯-海耶斯,15,200,0.3160 ,24,76,0.364,12,33,0.857,6,7,30,8,3,3,4,23,66
帕特里克-麦考,25,216,0.4310 ,22,51,0.32,8,25,0.867,13,15,38,16,12,3,4,17,65
罗波特-特雷勒,22,245,0.4590 ,28,61,0,0,1,0.529,9,17,70,11,10,13,16,57,65
凯文-爱德华兹,7,203,0.3650 ,23,63,0,0,2,0.818,18,22,23,16,7,1,14,12,64
吉姆-巴恩斯,11,200,0.4130 ,26,63,0,0,0,0.667,12,18,61,6,0,0,0,35,64
菲尔-哈巴德,8,123,0.4900 ,25,51,1,1,1,0.722,13,18,23,3,3,0,8,17,64
埃尔德里奇-雷卡斯那,17,227,0.3820 ,21,55,0.458,11,24,0.714,10,14,17,21,4,0,11,16,63
托瑞-克雷格,10,231,0.4890 ,23,47,0.5,13,26,0.4,4,10,51,9,6,3,5,27,63
特雷西-穆雷,7,103,0.5380 ,21,39,0.385,5,13,0.941,16,17,12,3,6,2,2,14,63
迈尔-里艾比,6,0,0.2870 ,23,80,0,0,0,0.654,17,26,0,5,0,0,0,13,63
鲍勃-苏拉,13,231,0.4260 ,23,54,0.467,7,15,0.667,10,15,31,21,9,0,17,23,63
Swede0Halbrook,8,172,0.3330 ,24,72,0,0,0,0.7,14,20,83,12,0,0,0,21,62
凯文-塞拉芬,14,138,0.4500 ,27,60,0,0,0,0.615,8,13,35,6,2,3,9,21,62
多纳塔斯-莫泰尤纳斯,11,121,0.4900 ,24,49,0.4,4,10,0.5,10,20,34,7,4,2,12,12,62
威利-麦卡特,17,246,0.3610 ,30,83,0,0,0,0.286,2,7,29,20,0,0,0,32,62
斯莱-威廉姆斯,7,138,0.4920 ,29,59,1,1,1,1,3,3,30,11,6,1,15,11,62
沙巴兹-内皮尔,9,110,0.4880 ,20,41,0.4,8,20,0.778,14,18,13,17,6,0,6,8,62
考奇-卡尔霍恩,18,203,0.5190 ,28,54,0,0,0,0.6,6,10,28,7,6,3,0,22,62
莱恩-霍林斯,36,292,0.4720 ,25,53,0,0,0,0.545,12,22,59,11,1,14,14,64,62
萨姆-马克,10,170,0.3400 ,18,53,0.343,12,35,0.7,14,20,18,8,5,0,7,12,62
蒙特-莫里斯,10,188,0.4030 ,29,72,0,0,12,0.667,4,6,16,34,3,1,6,14,62
克里斯-克劳福德,7,129,0.3330 ,16,48,0.286,4,14,0.893,25,28,21,5,1,2,8,21,61
基斯-阿斯金斯,27,333,0.3680 ,21,57,0.387,12,31,0.778,7,9,57,13,9,3,11,56,61
奎因汀-戴利,4,129,0.4190 ,26,62,0.143,1,7,0.727,8,11,13,11,4,0,5,9,61
泰勒-约翰逊,10,141,0.5140 ,19,37,0.563,9,16,0.778,14,18,15,12,3,0,4,22,61
